Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,200,300,130,47,0,0.088,0.55,0.322,0.04
200,300,200,300,130,47,1,0.011,0.874,0.099,0.016
200,300,200,300,140,47,0,0.558,0.121,0.245,0.076
200,300,200,300,140,47,1,0.213,0.473,0.231,0.083
200,300,200,300,150,47,0,0.966,0.007,0.021,0.006
200,300,200,300,150,47,1,0.777,0.135,0.067,0.021
200,300,200,300,160,47,0,0.999,0,0.001,0
200,300,200,300,160,47,1,0.971,0.026,0.003,0
200,300,200,300,170,47,0,1,0,0,0
200,300,200,300,170,47,1,1,0,0,0
200,300,200,400,130,47,0,0.052,0.515,0.397,0.036
200,300,200,400,130,47,1,0.009,0.86,0.129,0.002
200,300,200,400,140,47,0,0.47,0.12,0.345,0.065
200,300,200,400,140,47,1,0.212,0.409,0.323,0.056
200,300,200,400,150,47,0,0.958,0.005,0.034,0.003
200,300,200,400,150,47,1,0.742,0.119,0.111,0.028
200,300,200,400,160,47,0,0.998,0.001,0.001,0
200,300,200,400,160,47,1,0.969,0.023,0.008,0
200,300,200,400,170,47,0,1,0,0,0
200,300,200,400,170,47,1,0.996,0.004,0,0
200,300,200,500,130,47,0,0.038,0.519,0.418,0.025
200,300,200,500,130,47,1,0.005,0.835,0.154,0.006
200,300,200,500,140,47,0,0.414,0.122,0.397,0.067
200,300,200,500,140,47,1,0.147,0.446,0.357,0.05
200,300,200,500,150,47,0,0.912,0.009,0.071,0.008
200,300,200,500,150,47,1,0.669,0.129,0.172,0.03
200,300,200,500,160,47,0,0.997,0.001,0.002,0
200,300,200,500,160,47,1,0.958,0.023,0.016,0.003
200,300,200,500,170,47,0,1,0,0,0
200,300,200,500,170,47,1,0.997,0.003,0,0
200,300,200,600,130,47,0,0.026,0.462,0.486,0.026
200,300,200,600,130,47,1,0.006,0.848,0.143,0.003
200,300,200,600,140,47,0,0.394,0.112,0.419,0.075
200,300,200,600,140,47,1,0.104,0.516,0.34,0.04
200,300,200,600,150,47,0,0.892,0.01,0.084,0.014
200,300,200,600,150,47,1,0.562,0.212,0.19,0.036
200,300,200,600,160,47,0,0.994,0,0.006,0
200,300,200,600,160,47,1,0.919,0.046,0.034,0.001
200,300,200,600,170,47,0,1,0,0,0
200,300,200,600,170,47,1,0.991,0.005,0.004,0
200,300,200,700,130,47,0,0.014,0.472,0.484,0.03
200,300,200,700,130,47,1,0.002,0.864,0.133,0.001
200,300,200,700,140,47,0,0.305,0.131,0.49,0.074
200,300,200,700,140,47,1,0.081,0.572,0.308,0.039
200,300,200,700,150,47,0,0.83,0.014,0.126,0.03
200,300,200,700,150,47,1,0.483,0.267,0.208,0.042
200,300,200,700,160,47,0,0.991,0.001,0.006,0.002
200,300,200,700,160,47,1,0.87,0.082,0.043,0.005
200,300,200,700,170,47,0,0.999,0,0.001,0
200,300,200,700,170,47,1,0.984,0.011,0.005,0
200,300,200,800,130,47,0,0.017,0.486,0.481,0.016
200,300,200,800,130,47,1,0.001,0.891,0.104,0.004
200,300,200,800,140,47,0,0.23,0.151,0.512,0.107
200,300,200,800,140,47,1,0.026,0.662,0.264,0.048
200,300,200,800,150,47,0,0.788,0.015,0.159,0.038
200,300,200,800,150,47,1,0.394,0.353,0.205,0.048
200,300,200,800,160,47,0,0.983,0.002,0.014,0.001
200,300,200,800,160,47,1,0.774,0.151,0.063,0.012
200,300,200,800,170,47,0,1,0,0,0
200,300,200,800,170,47,1,0.964,0.032,0.003,0.001
200,300,200,900,130,47,0,0.012,0.506,0.463,0.019
200,300,200,900,130,47,1,0.001,0.875,0.119,0.005
200,300,200,900,140,47,0,0.167,0.14,0.594,0.099
200,300,200,900,140,47,1,0.024,0.646,0.301,0.029
200,300,200,900,150,47,0,0.733,0.025,0.175,0.067
200,300,200,900,150,47,1,0.239,0.465,0.224,0.072
200,300,200,900,160,47,0,0.986,0.001,0.013,0
200,300,200,900,160,47,1,0.695,0.223,0.074,0.008
200,300,200,900,170,47,0,0.999,0,0.001,0
200,300,200,900,170,47,1,0.905,0.087,0.008,0
200,300,200,1000,130,47,0,0.004,0.468,0.512,0.016
200,300,200,1000,130,47,1,0,0.893,0.106,0.001
200,300,200,1000,140,47,0,0.111,0.154,0.599,0.136
200,300,200,1000,140,47,1,0.013,0.706,0.257,0.024
200,300,200,1000,150,47,0,0.641,0.025,0.237,0.097
200,300,200,1000,150,47,1,0.198,0.491,0.222,0.089
200,300,200,1000,160,47,0,0.968,0.003,0.025,0.004
200,300,200,1000,160,47,1,0.584,0.316,0.081,0.019
200,300,200,1000,170,47,0,1,0,0,0
200,300,200,1000,170,47,1,0.842,0.145,0.013,0
200,300,300,400,130,47,0,0.035,0.47,0.439,0.056
200,300,300,400,130,47,1,0.003,0.826,0.151,0.02
200,300,300,400,140,47,0,0.462,0.103,0.323,0.112
200,300,300,400,140,47,1,0.178,0.406,0.329,0.087
200,300,300,400,150,47,0,0.932,0.007,0.039,0.022
200,300,300,400,150,47,1,0.724,0.113,0.118,0.045
200,300,300,400,160,47,0,0.999,0.001,0,0
200,300,300,400,160,47,1,0.974,0.017,0.008,0.001
200,300,300,400,170,47,0,1,0,0,0
200,300,300,400,170,47,1,0.998,0.002,0,0
200,300,300,500,130,47,0,0.027,0.475,0.465,0.033
200,300,300,500,130,47,1,0.003,0.829,0.163,0.005
200,300,300,500,140,47,0,0.37,0.102,0.405,0.123
200,300,300,500,140,47,1,0.105,0.422,0.398,0.075
200,300,300,500,150,47,0,0.909,0.006,0.071,0.014
200,300,300,500,150,47,1,0.645,0.126,0.181,0.048
200,300,300,500,160,47,0,1,0,0,0
200,300,300,500,160,47,1,0.951,0.028,0.02,0.001
200,300,300,500,170,47,0,1,0,0,0
200,300,300,500,170,47,1,0.997,0.003,0,0
200,300,300,600,130,47,0,0.015,0.439,0.521,0.025
200,300,300,600,130,47,1,0,0.838,0.16,0.002
200,300,300,600,140,47,0,0.339,0.109,0.47,0.082
200,300,300,600,140,47,1,0.112,0.513,0.326,0.049
200,300,300,600,150,47,0,0.872,0.011,0.1,0.017
200,300,300,600,150,47,1,0.548,0.191,0.215,0.046
200,300,300,600,160,47,0,0.995,0.001,0.004,0
200,300,300,600,160,47,1,0.93,0.034,0.035,0.001
200,300,300,600,170,47,0,1,0,0,0
200,300,300,600,170,47,1,0.992,0.005,0.003,0
200,300,300,700,130,47,0,0.01,0.456,0.509,0.025
200,300,300,700,130,47,1,0.001,0.896,0.102,0.001
200,300,300,700,140,47,0,0.267,0.123,0.519,0.091
200,300,300,700,140,47,1,0.05,0.573,0.338,0.039
200,300,300,700,150,47,0,0.832,0.014,0.115,0.039
200,300,300,700,150,47,1,0.454,0.27,0.234,0.042
200,300,300,700,160,47,0,0.988,0,0.011,0.001
200,300,300,700,160,47,1,0.867,0.079,0.052,0.002
200,300,300,700,170,47,0,1,0,0,0
200,300,300,700,170,47,1,0.982,0.012,0.006,0
200,300,300,800,130,47,0,0.007,0.438,0.529,0.026
200,300,300,800,130,47,1,0,0.873,0.125,0.002
200,300,300,800,140,47,0,0.22,0.117,0.563,0.1
200,300,300,800,140,47,1,0.042,0.643,0.279,0.036
200,300,300,800,150,47,0,0.755,0.025,0.173,0.047
200,300,300,800,150,47,1,0.341,0.374,0.237,0.048
200,300,300,800,160,47,0,0.993,0,0.007,0
200,300,300,800,160,47,1,0.808,0.131,0.057,0.004
200,300,300,800,170,47,0,1,0,0,0
200,300,300,800,170,47,1,0.966,0.03,0.004,0
200,300,300,900,130,47,0,0.007,0.492,0.485,0.016
200,300,300,900,130,47,1,0,0.872,0.125,0.003
200,300,300,900,140,47,0,0.157,0.12,0.602,0.121
200,300,300,900,140,47,1,0.021,0.656,0.279,0.044
200,300,300,900,150,47,0,0.718,0.019,0.188,0.075
200,300,300,900,150,47,1,0.233,0.476,0.217,0.074
200,300,300,900,160,47,0,0.978,0.004,0.018,0
200,300,300,900,160,47,1,0.683,0.232,0.078,0.007
200,300,300,900,170,47,0,0.998,0,0.002,0
200,300,300,900,170,47,1,0.908,0.085,0.007,0
200,300,300,1000,130,47,0,0.006,0.472,0.513,0.009
200,300,300,1000,130,47,1,0,0.87,0.128,0.002
200,300,300,1000,140,47,0,0.128,0.166,0.592,0.114
200,300,300,1000,140,47,1,0.016,0.686,0.263,0.035
200,300,300,1000,150,47,0,0.642,0.028,0.229,0.101
200,300,300,1000,150,47,1,0.175,0.489,0.259,0.077
200,300,300,1000,160,47,0,0.968,0.002,0.025,0.005
200,300,300,1000,160,47,1,0.567,0.317,0.097,0.019
200,300,300,1000,170,47,0,1,0,0,0
200,300,300,1000,170,47,1,0.86,0.118,0.022,0
200,300,400,500,130,47,0,0.025,0.427,0.494,0.054
200,300,400,500,130,47,1,0.005,0.813,0.173,0.009
200,300,400,500,140,47,0,0.396,0.087,0.38,0.137
200,300,400,500,140,47,1,0.111,0.425,0.367,0.097
200,300,400,500,150,47,0,0.912,0.006,0.054,0.028
200,300,400,500,150,47,1,0.692,0.118,0.122,0.068
200,300,400,500,160,47,0,0.997,0.002,0.001,0
200,300,400,500,160,47,1,0.952,0.029,0.016,0.003
200,300,400,500,170,47,0,1,0,0,0
200,300,400,500,170,47,1,0.997,0.003,0,0
200,300,400,600,130,47,0,0.019,0.43,0.517,0.034
200,300,400,600,130,47,1,0.003,0.832,0.164,0.001
200,300,400,600,140,47,0,0.34,0.082,0.459,0.119
200,300,400,600,140,47,1,0.093,0.47,0.37,0.067
200,300,400,600,150,47,0,0.872,0.016,0.091,0.021
200,300,400,600,150,47,1,0.553,0.19,0.2,0.057
200,300,400,600,160,47,0,0.998,0,0.002,0
200,300,400,600,160,47,1,0.932,0.041,0.022,0.005
200,300,400,600,170,47,0,1,0,0,0
200,300,400,600,170,47,1,0.993,0.005,0.002,0
200,300,400,700,130,47,0,0.01,0.457,0.503,0.03
200,300,400,700,130,47,1,0.001,0.884,0.11,0.005
200,300,400,700,140,47,0,0.252,0.132,0.506,0.11
200,300,400,700,140,47,1,0.057,0.581,0.303,0.059
200,300,400,700,150,47,0,0.836,0.013,0.118,0.033
200,300,400,700,150,47,1,0.423,0.26,0.262,0.055
200,300,400,700,160,47,0,0.992,0.001,0.006,0.001
200,300,400,700,160,47,1,0.879,0.08,0.038,0.003
200,300,400,700,170,47,0,1,0,0,0
200,300,400,700,170,47,1,0.981,0.018,0.001,0
200,300,400,800,130,47,0,0.007,0.462,0.514,0.017
200,300,400,800,130,47,1,0,0.882,0.117,0.001
200,300,400,800,140,47,0,0.2,0.134,0.545,0.121
200,300,400,800,140,47,1,0.034,0.641,0.273,0.052
200,300,400,800,150,47,0,0.784,0.014,0.156,0.046
200,300,400,800,150,47,1,0.316,0.395,0.232,0.057
200,300,400,800,160,47,0,0.984,0.001,0.015,0
200,300,400,800,160,47,1,0.788,0.152,0.054,0.006
200,300,400,800,170,47,0,0.999,0,0.001,0
200,300,400,800,170,47,1,0.964,0.029,0.007,0
200,300,400,900,130,47,0,0.002,0.474,0.506,0.018
200,300,400,900,130,47,1,0,0.879,0.119,0.002
200,300,400,900,140,47,0,0.147,0.118,0.595,0.14
200,300,400,900,140,47,1,0.015,0.669,0.272,0.044
200,300,400,900,150,47,0,0.709,0.031,0.188,0.072
200,300,400,900,150,47,1,0.264,0.423,0.228,0.085
200,300,400,900,160,47,0,0.97,0.003,0.022,0.005
200,300,400,900,160,47,1,0.685,0.233,0.074,0.008
200,300,400,900,170,47,0,1,0,0,0
200,300,400,900,170,47,1,0.897,0.087,0.016,0
200,300,400,1000,130,47,0,0.003,0.462,0.521,0.014
200,300,400,1000,130,47,1,0,0.884,0.113,0.003
200,300,400,1000,140,47,0,0.121,0.15,0.608,0.121
200,300,400,1000,140,47,1,0.009,0.685,0.27,0.036
200,300,400,1000,150,47,0,0.614,0.023,0.242,0.121
200,300,400,1000,150,47,1,0.175,0.512,0.234,0.079
200,300,400,1000,160,47,0,0.968,0,0.024,0.008
200,300,400,1000,160,47,1,0.61,0.268,0.094,0.028
200,300,400,1000,170,47,0,1,0,0,0
200,300,400,1000,170,47,1,0.838,0.144,0.018,0
200,300,500,600,130,47,0,0.008,0.41,0.529,0.053
200,300,500,600,130,47,1,0.002,0.846,0.149,0.003
200,300,500,600,140,47,0,0.291,0.108,0.407,0.194
200,300,500,600,140,47,1,0.072,0.506,0.337,0.085
200,300,500,600,150,47,0,0.858,0.014,0.078,0.05
200,300,500,600,150,47,1,0.543,0.179,0.196,0.082
200,300,500,600,160,47,0,0.995,0,0.005,0
200,300,500,600,160,47,1,0.922,0.043,0.031,0.004
200,300,500,600,170,47,0,1,0,0,0
200,300,500,600,170,47,1,0.992,0.006,0.002,0
200,300,500,700,130,47,0,0.013,0.433,0.526,0.028
200,300,500,700,130,47,1,0,0.862,0.134,0.004
200,300,500,700,140,47,0,0.235,0.101,0.515,0.149
200,300,500,700,140,47,1,0.051,0.57,0.322,0.057
200,300,500,700,150,47,0,0.795,0.02,0.122,0.063
200,300,500,700,150,47,1,0.439,0.278,0.211,0.072
200,300,500,700,160,47,0,0.99,0.001,0.009,0
200,300,500,700,160,47,1,0.874,0.085,0.037,0.004
200,300,500,700,170,47,0,1,0,0,0
200,300,500,700,170,47,1,0.989,0.009,0.002,0
200,300,500,800,130,47,0,0.007,0.451,0.517,0.025
200,300,500,800,130,47,1,0,0.866,0.131,0.003
200,300,500,800,140,47,0,0.172,0.125,0.544,0.159
200,300,500,800,140,47,1,0.033,0.639,0.283,0.045
200,300,500,800,150,47,0,0.748,0.024,0.148,0.08
200,300,500,800,150,47,1,0.348,0.367,0.231,0.054
200,300,500,800,160,47,0,0.984,0.002,0.013,0.001
200,300,500,800,160,47,1,0.772,0.155,0.068,0.005
200,300,500,800,170,47,0,0.999,0,0.001,0
200,300,500,800,170,47,1,0.952,0.042,0.006,0
200,300,500,900,130,47,0,0.005,0.488,0.492,0.015
200,300,500,900,130,47,1,0,0.897,0.101,0.002
200,300,500,900,140,47,0,0.126,0.133,0.605,0.136
200,300,500,900,140,47,1,0.015,0.71,0.235,0.04
200,300,500,900,150,47,0,0.68,0.019,0.209,0.092
200,300,500,900,150,47,1,0.24,0.442,0.242,0.076
200,300,500,900,160,47,0,0.974,0.003,0.02,0.003
200,300,500,900,160,47,1,0.672,0.24,0.075,0.013
200,300,500,900,170,47,0,1,0,0,0
200,300,500,900,170,47,1,0.907,0.085,0.008,0
200,300,500,1000,130,47,0,0.005,0.452,0.525,0.018
200,300,500,1000,130,47,1,0,0.873,0.125,0.002
200,300,500,1000,140,47,0,0.105,0.134,0.635,0.126
200,300,500,1000,140,47,1,0.011,0.695,0.259,0.035
200,300,500,1000,150,47,0,0.612,0.027,0.24,0.121
200,300,500,1000,150,47,1,0.203,0.47,0.242,0.085
200,300,500,1000,160,47,0,0.974,0,0.02,0.006
200,300,500,1000,160,47,1,0.605,0.298,0.08,0.017
200,300,500,1000,170,47,0,1,0,0,0
