Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,N_Total,N_Success,N_Fail_Egg_Time,N_Fail_Egg_Cold,N_Fail_Parent_Dead,Overall_Mean_Energy_F,Overall_Var_Energy_F,Overall_Mean_Energy_M,Overall_Total_Neglect,Overall_Max_Neglect,Overall_Prop_Neglect,Overall_Hatch_Date,Successful_Mean_Energy_F,Successful_Var_Energy_F,Successful_Mean_Energy_M,Successful_Var_Energy_M,Successful_Total_Neglect,Successful_Max_Neglect,Successful_Prop_Neglect,Successful_Hatch_Date,Successful_Attendance_F,Successful_Prop_F,Successful_Attendance_M,Successful_Prop_M,Rate_Success,Rate_Fail_Egg_Time,Rate_Fail_Egg_Cold,Rate_Fail_Parent_Dead
200,300,200,600,140,47,1000,0,92,416,122,347.41191,17347.71707,514.471106,14.284,7.729,0.250326398777065,53.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.092,0.416,0.122
200,300,200,600,150,47,1000,0,20,74,7,443.123261,10240.2545,582.640035,4.808,2.957,0.0937169203268793,43.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.02,0.074,0.007
200,300,200,600,160,47,1000,0,0,1,2,559.854311,6317.29233,640.250753,0.882,0.669,0.0194977007200492,38.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.001,0.002
200,300,200,600,170,47,1000,0,0,0,0,677.89781,5899.68866,699.295234,0.045,0.043,0.00110340176619246,37.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
200,300,200,600,162,47,1000,0,0,1,0,575.119099,6124.69063,647.170241,0.495,0.405,0.011371581090294,37.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.001,0
200,300,200,700,130,47,1000,0,20,462,497,294.281989,23345.46115,526.174932,21.556,13.059,0.406332760604726,49.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.02,0.462,0.497
200,300,200,700,140,47,1000,0,96,475,145,323.754033,18131.23859,572.854575,15.992,8.593,0.280143480129675,53.891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.096,0.475,0.145
200,300,200,700,150,47,1000,0,35,130,13,399.720901,10132.82612,637.894085,6.543,3.813,0.123880715254344,46.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.035,0.13,0.013
200,300,200,700,160,47,1000,0,0,6,0,504.333092,5099.22467,693.12977,1.375,1.022,0.0303603550622181,39.146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.006,0
200,300,200,700,170,47,1000,0,0,0,0,641.495111,5092.94631,735.752748,0.159,0.133,0.00378816577900248,37.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
