iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
10,0,250,120,0,9,1,0,0,58.7,26.1,13.7,-212.926,146.347,85830.6,-175.828,96.2797,76553.1
10,0,250,130,1,6,3,0,0,52.9,13.7,4.5,-11.4558,281.625,70049.7,-45.5763,212.913,60561.7
10,0,250,140,3,1,6,0,0,44.6,4.7,1.5,202.861,440.134,42981.3,39.0473,311.565,50913.1
10,0,250,150,6,0,4,0,0,38.2,0.1,0.1,344.769,539.621,20081.3,176.328,427.52,30428.3
10,0,250,160,9,0,1,0,0,38,0,0,612.779,687.462,11024.1,285.475,500.24,21916.6
10,0,250,170,10,0,0,0,0,38,0,0,626.868,694.363,8027.7,573.272,642.667,8954.59
10,0,250,180,10,0,0,0,0,38,0,0,910.843,855.07,8965.63,723.687,698.953,8618.54
10,0,250,190,10,0,0,0,0,38,0,0,1075.7,913.641,13200.4,935.835,780.741,15357.5
10,0,250,200,10,0,0,0,0,38,0,0,1239.41,1000.85,23099.6,1182.14,950.449,35986.5
10,0,300,100,0,10,0,0,0,61,39.6,37.7,-1009.5,-206.93,293578,-1017.75,-235.296,236021
10,0,300,110,0,10,0,0,0,61,36.6,31.7,-530.642,-9.20623,150374,-606.861,-97.2435,144048
10,0,300,120,0,10,0,0,0,61,30.3,18.6,-249.789,104.914,114074,-262.528,53.6711,78878.6
10,0,300,130,0,6,4,0,0,52.5,13.2,4.4,-91.5675,233.058,76532.5,-17.4653,221.186,48321.6
10,0,300,140,1,0,9,0,0,42,2.6,1,164.211,407.61,46156.6,79.207,315.76,42251.7
10,0,300,150,9,0,1,0,0,38.5,0.3,0.1,414.251,583.745,21096.8,172.527,449.527,22876.9
10,0,300,160,9,0,1,0,0,38,0,0,597.686,698.571,12595.7,384.486,541.89,14748.3
10,0,300,170,10,0,0,0,0,38,0,0,753.987,708.531,6414.16,483.16,610.019,10276.6
10,0,300,180,10,0,0,0,0,38,0,0,879.616,821.585,8486.67,680.219,664.665,6951.7
10,0,300,190,10,0,0,0,0,38,0,0,1068.02,898.021,19073.3,863.3,785.349,13261.7
10,0,300,200,10,0,0,0,0,38,0,0,1222.66,964.868,29126.2,1020.31,817.769,20583.5
10,0,350,100,0,10,0,0,0,61,40.3,35.8,-817.756,-127.22,215207,-981.188,-219.54,236284
10,0,350,110,0,10,0,0,0,61,34.3,21.7,-474.435,-25.0122,158894,-512.611,-52.1323,131596
10,0,350,120,0,10,0,0,0,61,29.1,18.5,-264.978,117.431,114857,-306.49,33.5813,98894.4
10,0,350,130,0,6,4,0,0,53.4,13.8,5.3,-7.02088,261.387,71463.4,-47.6341,214.147,60972
10,0,350,140,6,1,3,0,0,42.5,3.2,1.1,244.357,493.646,39589.4,159.595,389.055,34259.7
10,0,350,150,4,0,6,0,0,40.3,1.5,0.5,145.908,449.205,36534.9,105.007,381.075,39753.2
10,0,350,160,10,0,0,0,0,38,0,0,533.492,677.477,12440.2,465.538,592.631,9005.52
10,0,350,170,10,0,0,0,0,38,0,0,673.373,709.07,10016.5,622.349,671.577,7843.17
10,0,350,180,10,0,0,0,0,38,0,0,843.042,760.826,8169.01,679.62,659.76,9531.45
10,0,350,190,10,0,0,0,0,38,0,0,1129.35,955.047,14949.1,999.166,843.594,17741.4
10,0,350,200,10,0,0,0,0,38,0,0,1328.61,1051.37,25451.9,1156.35,913.063,25686.3
10,0,400,100,0,10,0,0,0,61,40.5,35.7,-960.472,-183.788,261361,-1145.38,-300.728,295173
10,0,400,110,0,10,0,0,0,61,36.6,30.9,-586.175,-36.9856,172747,-696.517,-96.2919,170509
10,0,400,120,0,9,1,0,0,59.3,24.3,12.4,-315.199,138.928,103510,-300.601,95.4108,105443
10,0,400,130,1,6,3,0,0,53.9,16.6,7,-34.659,245.228,66510.5,-103.607,169.977,63360.9
10,0,400,140,4,0,6,0,0,39.8,1.2,0.4,168.045,441.32,43439.2,107.722,376.935,40600.2
10,0,400,150,8,0,2,0,0,38.6,0.4,0.2,268.265,534.94,29505.2,203.585,427.034,27406.3
10,0,400,160,9,0,1,0,0,38.3,0.2,0.1,473.896,627.976,18793.1,283.267,477.037,21471.7
10,0,400,170,10,0,0,0,0,38,0,0,663.578,710.414,9876.37,507.411,618.227,10956.1
10,0,400,180,10,0,0,0,0,38,0,0,881.223,830.039,5629.69,764.554,735.382,9797.83
10,0,400,190,10,0,0,0,0,38,0,0,1137.99,959.477,16010.7,1001.78,845.261,12855.7
10,0,400,200,10,0,0,0,0,38,0,0,1264,1010.67,20669.6,1081.71,897.008,27989
10,0,450,100,0,10,0,0,0,61,39.5,37.1,-762.688,-126.334,194375,-933.917,-228.909,254459
10,0,450,110,0,10,0,0,0,61,36.8,30,-648.759,-45.7368,186916,-619.524,-76.9102,150942
