iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,100,50,154,79,6981,2914,24,2,59.6512,17.783,4.3163,66.6367,151.205,37167.7,67.1994,169.431,46914.5,3.11812,8.405,3.91553,6.18025,3.22959,10.4586,-nan,-nan
10000,100,50,157,172,5650,4149,29,0,58.8311,16.3032,3.8744,72.449,156.903,37535.4,72.4315,174.704,47182.4,3.14496,8.50232,3.59824,4.593,3.25021,10.4875,3.5674,4.4694
10000,100,50,160,249,4387,5322,42,0,57.8804,14.9673,3.4886,77.5032,161.756,37877,77.0832,180.656,48012,3.17735,8.57677,3.35658,3.50183,3.31142,10.8512,3.3343,3.41745
10000,150,0,130,0,9998,2,0,0,60.9989,34.2694,19.6394,-42.822,77.5346,50907.7,-42.5617,97.3634,61769.7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,0,133,0,9992,8,0,0,60.9961,31.9624,16.6722,-12.0476,92.4083,47547.7,-10.2411,113.858,57397.9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,0,136,0,9978,22,0,0,60.9917,29.354,13.8523,11.8865,107.395,44425.4,10.36,126.191,54582.4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,0,139,0,9912,88,0,0,60.9675,27.248,11.9029,28.1229,116.659,42692.8,24.3866,134.74,52656.2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,0,142,0,9740,260,0,0,60.8892,25.0512,10.2465,35.9463,124.355,41675.6,35.2268,143.295,51296.7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,0,145,0,9439,561,0,0,60.7225,23.1087,8.9853,42.928,130.523,40718.9,42.6318,149.1,50620.3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,0,148,0,8829,1171,0,0,60.4351,21.3032,7.9721,49.7383,136.584,40517.6,50.8568,154.641,50128.9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,0,151,0,8100,1900,0,0,60.0403,19.5582,7.0846,56.2099,141.23,39977.3,55.6207,159.977,50094.2,5.39476,10.9848,7.64112,13.5743,5.62988,14.241,-nan,-nan
10000,150,0,154,0,7023,2977,0,0,59.3425,17.9802,6.3972,61.2067,146.431,40125.1,59.5192,165.039,50190.7,5.37922,10.9612,6.90524,10.3781,-nan,-nan,-nan,-nan
10000,150,0,157,0,5791,4209,0,0,58.491,16.3672,5.7575,63.304,151.047,40506.5,65.0458,170.749,50535.6,5.36942,11.0288,6.32081,8.40888,5.60443,14.3078,6.19157,7.87508
10000,150,0,160,0,4696,5304,0,0,57.4903,15.008,5.2136,66.1804,155.865,40948.5,67.5583,174.847,50890.6,5.39172,11.138,5.81028,6.57587,5.56836,14.0258,5.75276,6.65828
10000,150,50,130,0,9999,1,0,0,60.9999,34.3545,17.7977,-18.1618,98.5363,45963.5,-14.8754,119.355,56244,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,50,133,0,9990,10,0,0,60.9963,31.7866,14.5647,14.3335,115.681,42458,15.3479,134.142,52010.1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,50,136,0,9978,17,3,2,60.9942,29.3962,12.1354,35.1118,128.121,39730.8,34.3337,145.807,49423.6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,50,139,3,9909,75,7,6,60.9741,27.1586,10.2711,50.8263,137.777,38041.9,51.2014,155.349,47605.9,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,50,142,12,9748,223,13,4,60.9125,24.991,8.843,59.9758,145.079,36719.7,60.7817,163.077,46417.4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,50,145,12,9491,454,37,6,60.8276,23.1295,7.6876,70.019,151.547,36118.4,70.1361,168.921,45244.3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,50,148,49,8919,991,34,7,60.5523,21.2486,6.8038,76.0315,156.959,35675.3,76.943,174.719,44896.3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,50,151,86,8179,1655,73,7,60.2416,19.6836,6.0534,82.1522,161.723,35404.6,82.5781,179.592,44820,4.18588,9.28214,5.90083,11.4612,4.35279,11.9413,5.79356,11.3724
10000,150,50,154,186,7128,2588,87,11,59.6278,18.1174,5.4447,86.5384,166.854,35645.8,86.5671,184.098,44882.7,4.19536,9.40851,5.35381,8.96847,4.31688,11.6436,5.27522,8.73198
10000,150,50,157,326,5727,3831,110,6,58.8429,16.5197,4.8582,91.3022,171.208,35724.6,90.3359,188.98,45102.2,4.1704,9.18596,4.88216,6.9146,4.33645,11.7151,4.84337,6.75059
10000,150,50,160,539,4425,4897,133,6,57.821,15.0793,4.4329,93.8884,175.89,36117.2,94.6194,193.619,45390.3,4.18548,9.22256,4.5177,5.41859,4.32121,11.5379,4.48148,5.321
10000,150,100,130,0,9964,0,17,19,61,34.4323,15.3689,8.93721,121.61,41515.7,10.2218,140.022,50998.8,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
10000,150,100,133,1,9885,5,73,36,60.9978,31.9102,12.496,41.5458,137.53,37934.4,42.1388,155.87,47275.8,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
