iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
20000,0,200,142,5535,6328,8135,2,0,50.5494,10.1629,2.9071,53.9565,296.589,58731.5,481.304,555.049,15474.7
20000,0,200,145,7670,3666,8663,1,0,47.702,7.33095,2.0204,92.5763,339.324,53751.6,504.696,574.097,14164.3
20000,0,200,148,10057,1801,8141,1,0,45.1603,5.1128,1.4063,136.75,380.857,48058.6,524.199,592.29,12674.5
20000,0,200,151,12219,751,7029,1,0,43.1609,3.53655,0.978,182.221,419.675,42971.1,545.444,608.286,11740.3
20000,0,200,154,14289,253,5458,0,0,41.5064,2.3317,0.68505,234.909,458.857,37442.4,568.376,626.064,10594.5
20000,0,200,157,16130,51,3819,0,0,40.1828,1.41275,0.4515,296.254,500.927,31680.6,584.249,638.75,9721.68
20000,0,200,160,17337,9,2654,0,0,39.4508,0.92425,0.32655,353.591,533.957,27115.1,614.806,658.72,8999.47
20000,0,250,130,624,17584,1792,0,0,59.3088,24.8512,10.1535,-80.9796,161.961,77273.8,345.576,449.122,24599.8
20000,0,250,133,1208,15486,3305,1,0,57.9372,20.9653,7.5216,-44.9297,193.032,72494.4,383.518,476.049,21640.1
20000,0,250,136,2341,12652,5004,3,0,55.8941,17.0805,5.5145,-9.52062,227.827,67361.4,421.086,506.033,19207.3
20000,0,250,139,3917,9418,6662,3,0,53.3937,13.4675,3.9617,24.0632,264.909,62303.6,452.512,530.978,17224.4
20000,0,250,142,5681,6298,8018,3,0,50.7375,10.2713,2.8134,57.4841,302.703,57593.3,480.715,554.837,15478.8
20000,0,250,145,8031,3639,8326,4,0,47.9965,7.51365,1.9734,97.0558,343.151,52225,506.225,575.054,13888
20000,0,250,148,10435,1762,7798,5,0,45.4419,5.2991,1.35595,141.437,385.18,46829.7,527.232,593.667,12815.4
20000,0,250,151,12662,777,6556,5,0,43.4581,3.7401,0.9779,187.827,422.725,41594.2,550.961,611.591,11642
20000,0,250,154,14650,234,5113,3,0,41.7422,2.4802,0.6834,240.077,461.514,36155.4,571.022,627.158,10614.6
20000,0,250,157,16413,69,3518,0,0,40.5237,1.6363,0.4909,299.297,500.631,30843.1,592.523,642.864,9826.32
20000,0,250,160,17757,11,2232,0,0,39.6263,1.03405,0.3542,361.039,538.378,26086.3,615.391,658.318,8936.07
20000,0,300,130,589,17681,1726,4,0,59.4338,24.9402,9.90565,-80.0336,166.482,76820.8,345.53,449.908,24527.7
20000,0,300,133,1341,15392,3263,4,0,57.8958,20.9139,7.33,-41.9018,201.142,71400.6,383.458,476.065,21830.5
20000,0,300,136,2428,12707,4858,7,0,56.0375,17.2598,5.4019,-9.91517,232.811,66652.6,420.465,506.393,19336
20000,0,300,139,3986,9517,6482,15,0,53.6595,13.6867,3.8576,24.7601,270.795,61610.3,451.525,528.751,17179.1
20000,0,300,142,6016,6240,7731,13,0,50.9554,10.4113,2.7081,61.1512,308.428,56086.7,482.303,554.761,15454.5
20000,0,300,145,8450,3590,7936,24,0,48.2015,7.65165,1.9158,104.062,351.764,50663.2,503.25,573.402,14142.6
20000,0,300,148,10795,1843,7351,11,0,45.9025,5.6119,1.3539,147.067,388.681,45534.2,532.409,595.302,12630.8
