iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,250,100,136,2764,4959,1592,74,611,53.3788,13.6688,8.427,148.214,226.004,28021.5,141.102,428.123,104052,-nan,-nan,-nan,-nan,2.74522,33.4685,3.56035,18.3707
10000,250,100,139,4072,3217,2096,62,553,49.7783,9.5631,5.8498,181.622,256.302,27975.7,164.808,473.419,105301,-nan,-nan,-nan,-nan,2.7745,36.2794,3.34876,14.5992
10000,250,100,142,5642,1713,2214,49,382,46.1608,6.1082,3.8158,216.924,286.859,28933.9,186.145,517.688,106674,-nan,-nan,-nan,-nan,2.79284,39.2434,3.0097,9.51063
10000,250,100,145,6799,782,2174,19,226,43.339,3.7125,2.4396,266.23,317.567,31255,199.443,559.293,109756,-nan,-nan,-nan,-nan,2.82848,42.7949,2.72519,5.91149
10000,250,100,148,7653,322,1891,6,128,41.3801,2.2031,1.55,321.928,349.21,34389.5,217.306,593.048,111849,-nan,-nan,-nan,-nan,2.83866,45.5482,2.5264,3.56787
10000,250,100,151,8358,103,1488,3,48,40.1503,1.3055,1.0128,393.956,380.555,39019.9,228.498,624.637,114829,-nan,-nan,-nan,-nan,2.88231,48.6519,2.39306,2.22646
10000,250,100,154,8837,25,1128,0,10,39.4304,0.8035,0.6831,491.302,415.491,46053.2,236.725,655.02,117816,-nan,-nan,-nan,-nan,2.90544,51.1617,2.28741,1.23033
10000,250,100,157,9155,10,831,0,4,39.1522,0.618,0.5632,583.525,445.497,53850.8,243.427,679.505,120185,-nan,-nan,2.77159,4.3028,2.92301,53.0497,2.2365,0.88461
10000,250,100,160,9339,3,656,0,2,38.9502,0.4895,0.4708,694.995,476.368,64348.4,241.025,708.023,123590,-nan,-nan,2.5918,3.21446,2.93367,54.8052,2.18639,0.602238
10000,250,150,130,812,7663,181,280,1064,59.6029,24.0524,13.9225,97.2825,193.804,28527.9,102.523,355.649,95969,-nan,-nan,-nan,-nan,2.37192,23.3174,3.76427,22.2458
10000,250,150,133,1815,6044,424,432,1285,57.9416,19.9755,10.7313,134.023,221.627,26006.1,138.061,390.344,95053.1,-nan,-nan,-nan,-nan,2.43215,24.9437,3.77174,20.7197
10000,250,150,136,3286,4189,694,533,1298,55.277,15.5198,7.8251,166.579,252.356,24791,168.566,430.527,95708.1,-nan,-nan,-nan,-nan,2.47202,26.9555,3.57974,16.4235
10000,250,150,139,5140,2581,840,443,996,51.9529,11.3878,5.6249,195.206,284.3,24800.2,197.836,472.014,96921.8,-nan,-nan,-nan,-nan,2.48481,29.297,3.31899,12.4201
10000,250,150,142,6800,1301,901,363,635,48.5592,7.9824,3.9132,226.591,316.747,26013.5,225.248,514.538,99195.8,-nan,-nan,-nan,-nan,2.48573,31.9426,3.03558,8.53063
10000,250,150,145,8053,560,851,155,381,45.628,5.3786,2.7128,260.188,349.48,28246.1,252.504,554.605,101421,-nan,-nan,-nan,-nan,2.48322,34.7855,2.77853,5.65352
10000,250,150,148,8898,210,635,69,188,43.4073,3.5993,1.9009,307.714,385.491,32112.6,284.077,591.418,103598,-nan,-nan,-nan,-nan,2.46551,37.4556,2.56635,3.34716
10000,250,150,151,9422,54,454,19,51,41.926,2.4936,1.3989,370.468,422.374,37355.6,311.525,625.154,106701,-nan,-nan,2.85301,4.83625,2.48119,40.4956,2.41964,2.15558
10000,250,150,154,9666,17,293,8,16,41.1921,1.9743,1.1688,446.857,458.395,44590.5,334.055,650.96,109253,0.390105,2.61221,2.61492,3.23521,2.5023,43.0246,2.32492,1.37764
10000,250,150,157,9824,0,173,1,2,40.8051,1.7079,1.0671,537.694,495.088,54117.9,350.049,676.95,113363,0.253632,1.83744,2.45264,2.29415,2.55826,46.0328,2.26533,0.949414
10000,250,150,160,9896,0,104,0,0,40.6312,1.5862,1.0247,643.749,532.752,66149.9,359.694,699.313,117219,0.145424,1.1035,2.34694,1.63507,2.6332,49.0961,2.22288,0.708725
10000,250,200,130,660,6723,69,856,1692,60.0743,25.1557,12.715,123.817,217.132,25232.8,125.365,341.686,80469.4,-nan,-nan,-nan,-nan,2.3058,18.7512,4.04821,23.9802
10000,250,200,133,1653,5046,149,1284,1868,58.6368,21.1001,9.7288,156.482,243.927,22930,162.44,373.209,79597.5,-nan,-nan,-nan,-nan,2.3334,19.6852,3.92634,20.6016
10000,250,200,136,3251,3334,263,1445,1707,56.2271,16.7874,7.3208,189.999,271.479,21563.5,192.605,406.565,80253.8,-nan,-nan,-nan,-nan,2.35296,21.0643,3.71117,16.7872
10000,250,200,139,5096,1990,311,1316,1287,53.3342,12.8434,5.4156,214.434,296.761,21197.8,220.597,440.522,80675.3,-nan,-nan,-nan,-nan,2.3523,22.4169,3.39869,11.9956
10000,250,200,142,6961,1032,361,880,766,49.6773,8.9943,3.8091,235.94,326.676,21862.1,247.123,479.108,82013.1,-nan,-nan,-nan,-nan,2.34284,24.4733,3.0782,8.23866
10000,250,200,145,8437,433,287,480,363,46.3133,5.9648,2.6273,258.843,356.137,23275.2,279.013,517.012,83006.8,-nan,-nan,-nan,-nan,2.31693,26.4386,2.7803,5.00827
10000,250,200,148,9333,126,219,185,137,43.368,3.6112,1.7234,286.948,391.61,26036.6,317.44,556.45,85238.8,0.936514,5.16131,2.76972,4.17256,2.3,29.1197,2.55653,3.08824
10000,250,200,151,9693,48,131,64,64,41.5796,2.2926,1.2393,317.009,423.028,29209,356.477,587.041,86858.3,0.8081,5.12973,2.54796,2.77555,2.27401,31.2599,2.40704,1.97859
10000,250,200,154,9886,11,74,14,15,40.428,1.4746,0.9156,356.783,455.743,33706,398.457,612.556,87818,0.671836,4.78531,2.37897,1.62485,2.23162,32.7634,2.29968,1.21039
10000,250,200,157,9949,1,41,2,7,39.7057,0.9839,0.7079,413.451,491.95,40100.1,439.363,639.716,90818.6,0.509683,3.97827,2.2744,1.07092,2.24071,35.186,2.23012,0.814314
10000,250,200,160,9975,0,24,0,1,39.3791,0.7582,0.6111,483.453,527.074,48576.6,471.232,660.151,93623.8,0.39007,3.23426,2.21247,0.800765,2.26623,37.3402,2.18867,0.605414
10000,300,0,130,0,8025,1975,0,0,56.7506,20.0654,17.319,54.9036,124.901,41092.8,42.0787,368.607,123981,-nan,-nan,-nan,-nan,2.48849,35.4187,2.84381,14.2064
10000,300,0,133,0,6709,3291,0,0,54.0093,15.62,13.1032,106.736,156.141,38514,70.146,418.282,121896,-nan,-nan,-nan,-nan,2.55932,37.8037,2.92587,15.0027
10000,300,0,136,0,5112,4888,0,0,50.5368,11.1552,9.1671,152.687,185.896,37432.8,86.7141,471.434,120733,-nan,-nan,-nan,-nan,2.57084,39.6177,2.8541,13.3368
10000,300,0,139,0,3517,6483,0,0,47.0613,7.404,6.056,200.995,211.261,37654.2,95.1556,526.285,120285,-nan,-nan,-nan,-nan,2.55221,41.1452,2.68889,10.1157
10000,300,0,142,0,2058,7942,0,0,43.852,4.3728,3.6341,263.796,238.211,38776.8,93.4776,577.305,120401,-nan,-nan,-nan,-nan,2.49853,42.0671,2.46699,6.36613
10000,300,0,145,0,1116,8884,0,0,41.64,2.5148,2.1581,333.19,262.86,40967.4,96.1812,619.439,120418,-nan,-nan,-nan,-nan,2.41475,41.961,2.29142,3.52009
10000,300,0,148,0,507,9493,0,0,40.1222,1.3844,1.2177,411.76,287.053,43794.7,96.8996,660.287,120012,-nan,-nan,-nan,-nan,2.26256,40.3855,2.15588,1.64265
