iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_F,meanEnergy_F,varEnergy_F,endEnergy_M,meanEnergy_M,varEnergy_M,meanIncBout_F,varIncBout_F,meanForagingBout_F,varForagingBout_F,meanIncBout_M,varIncBout_M,meanForagingBout_M,varForagingBout_M
10000,250,0,151,8913,195,892,0,0,39.4571,0.9801,0.887,286.902,483.368,22794.2,312.884,541.063,27175.7,2.11087,0.460335,2.25802,1.3794,2.18167,0.735408,2.18784,1.17756
10000,250,0,154,9458,62,480,0,0,39.0442,0.6926,0.6621,331.446,511.237,19590.5,366.347,572.645,22596.6,2.05531,0.288849,2.14984,0.628668,2.10719,0.446614,2.10096,0.508654
10000,250,0,157,9782,22,196,0,0,38.8725,0.5795,0.5714,382.041,539.557,16665.1,428.539,605.435,18604.3,2.02057,0.176148,2.09109,0.316354,2.05921,0.292298,2.05297,0.208038
10000,250,0,160,9888,5,107,0,0,38.7832,0.5212,0.5173,435.336,567.559,14159.2,486.733,634.219,15445.1,2.00402,0.118856,2.05583,0.172634,2.02837,0.195971,2.03019,0.104686
10000,250,50,130,927,8263,448,6,356,58.3166,22.412,16.4724,75.5871,248.786,47976.1,74.1306,274.352,60517.6,2.66189,2.08073,4.28024,32.4576,2.88699,3.13592,4.03003,29.3767
10000,250,50,133,1763,6948,775,10,504,56.0439,18.0483,12.754,110.774,280.873,43672,108.941,307.924,55820.1,2.64224,1.97562,4.20002,28.4022,2.83571,2.92967,3.93376,26.0268
10000,250,50,136,3089,5247,1056,16,592,52.8132,13.4786,9.4159,137.392,315.271,39958.3,142.359,351.307,50702.1,2.56629,1.75461,3.86495,21.9211,2.74208,2.60476,3.68234,21.0108
10000,250,50,139,4616,3523,1194,16,651,49.2661,9.3702,6.5445,162.772,351.078,36340.1,167.176,389.764,46468.9,2.484,1.53537,3.49059,15.6548,2.6249,2.20276,3.34334,15.1779
10000,250,50,142,6132,2058,1249,6,555,45.8135,6.032,4.3503,188.126,387.49,33295.2,194.753,429.631,41397.8,2.37431,1.22384,3.07853,10.1692,2.4892,1.7285,2.96256,9.68073
10000,250,50,145,7707,1035,896,5,357,42.8867,3.543,2.6692,220.228,420.705,29201.4,231.172,471.04,36225.4,2.25984,0.875308,2.71885,5.86723,2.36563,1.31177,2.60836,5.30306
10000,250,50,148,8677,479,649,5,190,41.0546,2.1142,1.6967,251.516,452.367,25948.1,269.451,505.339,31838.6,2.17924,0.631922,2.46225,3.12736,2.26347,0.945705,2.38081,2.86391
10000,250,50,151,9332,179,400,1,88,39.8398,1.2333,1.0595,288.228,479.683,22750.6,314.281,538.787,26850.7,2.10654,0.410229,2.28642,1.61079,2.1791,0.67207,2.21016,1.27929
10000,250,50,154,9696,65,201,0,38,39.2395,0.8243,0.7604,336.48,509.885,19432.6,371.517,574.568,22560.4,2.0541,0.260507,2.16955,0.801435,2.10903,0.452425,2.11405,0.618494
10000,250,50,157,9893,17,75,0,15,38.942,0.6257,0.6043,387.553,542.102,16483.8,424.602,601.275,18741.1,2.02428,0.169514,2.0955,0.364568,2.05755,0.283914,2.06119,0.25316
10000,250,50,160,9966,3,29,0,2,38.8005,0.5317,0.5243,432.296,565.412,14246.3,486.087,632.251,15408.2,2.00347,0.114794,2.05608,0.173815,2.02783,0.181402,2.03251,0.11327
10000,250,100,130,818,7798,203,45,1136,59.1888,23.7487,15.9774,97.4636,257.505,44215.1,100.007,283.932,55730.7,2.54661,1.45052,4.40618,32.1161,2.74848,2.31456,4.24105,31.3626
10000,250,100,133,1707,6417,361,81,1434,57.3101,19.6174,12.714,132.208,286.792,40532.9,134.86,315.86,51423.4,2.53198,1.40122,4.30489,28.7079,2.70807,2.15195,4.11192,27.1926
