iterations,maxEnergyThresh,minEnergyThresh,foragingMean,numSuccess,numAllFail,numParentFail,numEggTimeFail,numEggColdFail,hatchDays,totNeglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F
20000,150,50,145,15966,1030,2914,17,73,41.578,2.53425,1.40375,257.757,503.823,35553.8,175.281,377.637,29689.6
20000,150,50,148,17780,330,1854,7,29,39.8513,1.2548,0.73805,300.502,540.14,30651.2,208.919,408.223,26168.9
20000,150,50,151,18848,96,1040,4,12,38.8304,0.5501,0.3488,353.742,576.687,25676.9,247.739,437.033,22716.2
20000,150,50,154,19404,26,566,1,3,38.3656,0.23665,0.16365,407.852,607.507,21628.2,287.907,462.037,19685.1
20000,150,50,157,19718,4,278,0,0,38.1283,0.081,0.06045,465.763,639.15,18082.4,335.552,489.292,16706.5
20000,150,50,160,19872,1,127,0,0,38.0478,0.02945,0.023,524.907,668.871,14934.5,382.088,514.306,14250.5
20000,150,100,130,2356,16019,1000,281,344,58.3019,21.5513,11.326,88.2904,296.852,58427.5,34.6905,209.774,46193
20000,150,100,133,4522,12899,1798,396,385,55.8231,17.1771,8.43095,123.373,332.764,54073.6,69.7018,241.406,42148.4
20000,150,100,136,7596,9015,2531,459,399,52.4855,12.7331,6.01015,157.318,372.572,49946.2,100.759,273.325,38731.2
20000,150,100,139,10901,5312,3078,361,348,48.6288,8.5753,4.00635,189.062,415.817,45445.9,128.111,308.574,35613.4
20000,150,100,142,14217,2462,2920,184,217,44.8684,5.1383,2.45025,223.205,460.349,40457.4,154.396,344.371,32463
20000,150,100,145,16597,1013,2183,84,123,42.0192,2.85375,1.4364,260.616,502.654,35490.3,181.461,377.78,29083.9
20000,150,100,148,18155,311,1453,28,53,40.112,1.4323,0.78305,303.462,540.431,30612.9,215.071,407.612,25808.1
20000,150,100,151,19073,82,816,6,23,38.9835,0.64565,0.3922,354.864,576.289,25886.2,250.506,436.482,22617.5
20000,150,100,154,19500,12,485,0,3,38.4348,0.27785,0.181,407.257,607.51,21704.2,291.102,463.024,19549.5
20000,150,100,157,19756,2,242,0,0,38.1636,0.10175,0.07245,466.867,639.151,17941.5,334.329,488.101,16728.6
20000,150,100,160,19891,0,108,0,1,38.0655,0.0399,0.0308,526.869,669.396,14852.5,384.894,515.15,14090.6
20000,200,0,130,2231,15981,1546,54,188,57.8299,20.9838,12.577,82.9836,294.361,59493.6,23.1328,210.319,48169.5
20000,200,0,133,4294,12917,2483,51,255,55.2086,16.4764,9.2663,118.938,331.731,54858.6,63.6035,245.07,43098.5
20000,200,0,136,7043,9182,3450,68,257,51.7276,11.9575,6.57425,149.03,371.88,50789.2,98.1369,280.416,38871.9
20000,200,0,139,10140,5625,3943,49,243,48.1325,8.14035,4.40955,177.058,413.861,46776.7,128.288,315.109,35139.6
20000,200,0,142,13347,2920,3551,36,146,44.5607,4.92465,2.73715,209.11,456.502,41969.6,160.018,350.487,31214.6
20000,200,0,145,15878,1174,2812,12,124,41.8787,2.74525,1.5943,246.722,498.024,37066.1,190.509,381.889,27835.7
20000,200,0,148,17730,395,1829,4,42,40.0787,1.4114,0.8801,288.282,534.232,32236.4,223.691,411.049,24574.3
20000,200,0,151,18814,110,1054,4,18,39.0066,0.6627,0.4448,338.066,570.806,27286.2,260.355,437.883,21608.4
20000,200,0,154,19493,26,473,2,6,38.4243,0.2735,0.1961,399.36,606.05,22380.4,300.324,464.258,18701.4
20000,200,0,157,19801,4,194,0,1,38.1717,0.1088,0.0838,458.317,637.947,18450.1,343.324,490.396,16084.4
20000,200,0,160,19927,1,72,0,0,38.0562,0.035,0.02885,521.105,668.892,15178.5,389.532,516.476,13732.9
20000,200,50,130,2409,15986,950,164,491,58.2617,21.6213,12.49,82.8097,292.466,59458,39.4959,216.109,45283.6
20000,200,50,133,4635,12769,1668,267,661,55.7966,17.172,9.287,119.97,328.589,55050.7,78.8978,247.874,40920
20000,200,50,136,7668,9056,2317,266,693,52.4581,12.6976,6.7139,149.025,368.492,51079,112.037,281.51,37141.6
20000,200,50,139,11061,5407,2685,248,599,48.6256,8.5895,4.48035,180.18,411.824,46851.6,140.892,315.996,33717.2
20000,200,50,142,14293,2777,2411,137,382,45.0731,5.3306,2.8674,208.543,453.951,42244.3,167.271,349.905,30688.6
20000,200,50,145,16746,1102,1880,60,212,42.2058,2.97895,1.67525,246.64,495.998,37269.3,197.554,382.028,27439
20000,200,50,148,18325,364,1219,19,73,40.2176,1.5081,0.9064,289.424,535.22,32026.1,227.217,410.925,24467.9
20000,200,50,151,19247,109,596,4,44,39.0915,0.7229,0.4657,341.738,572.361,27105.2,265.526,439.328,21265.8
20000,200,50,154,19698,20,274,1,7,38.4295,0.276,0.1965,396.244,604.359,22669.3,301.86,465.399,18535.3
20000,200,50,157,19863,3,133,1,0,38.193,0.1228,0.09065,455.081,635.849,18673.4,344.279,490.008,16045.9
20000,200,50,160,19939,2,59,0,0,38.0665,0.0418,0.03275,519.132,668.179,15309.1,391.462,516.783,13701.7
20000,200,100,130,2338,15811,633,397,821,58.6541,22.2051,12.2663,83.5001,290.608,59441.8,57.986,224.106,42528.6
20000,200,100,133,4662,12590,1130,583,1035,56.3631,17.8191,9.1996,118.058,325.392,55284.3,94.0113,253.577,38568.3
20000,200,100,136,7995,8638,1730,644,993,52.8732,13.1346,6.5293,151.049,367.309,51116.1,129.354,286.318,35008.1
20000,200,100,139,11572,5109,1930,519,870,49.1431,9.04325,4.4614,181.513,409.099,46702.7,154.116,319.304,32397.7
20000,200,100,142,14746,2565,1840,306,543,45.4706,5.63895,2.88105,212.333,453.019,42243.6,178.75,352.459,29715.2
20000,200,100,145,17163,1017,1378,161,281,42.5086,3.20535,1.7061,248.611,494.11,37077.3,204.452,383.153,26877.6
20000,200,100,148,18606,309,920,45,120,40.4109,1.64565,0.95615,292.08,534.121,32114.3,235.301,412.769,23991
20000,200,100,151,19380,94,479,15,32,39.2037,0.7982,0.4966,343.985,571.246,27063.6,265.52,438.47,21289.7
20000,200,100,154,19745,27,209,2,17,38.5044,0.3274,0.22145,400.027,606.201,22400.8,303.114,465.24,18530.8
20000,200,100,157,19906,5,84,0,5,38.2023,0.1295,0.09295,460.509,638.729,18412.5,346.943,491.911,15882.2
20000,200,100,160,19965,0,34,0,1,38.0757,0.0474,0.03725,520.246,668.18,15254.6,393.405,517.105,13600.3
20000,200,150,130,2184,15494,436,806,1080,59.0087,22.8623,11.8389,83.3852,288.091,59545.5,79.6202,232.676,39413.5
20000,200,150,133,4440,12246,860,1123,1331,56.9213,18.5557,8.90255,119.612,322.617,55192.9,114.269,260.096,35952.5
20000,200,150,136,7909,8342,1270,1215,1264,53.7221,13.9875,6.4081,152.185,362.813,51128.7,144.553,290.574,33092.9
